playerID,playerName,team,position,opponent,week_num,rec_tgt_roll,rush_att_roll,off_snp_roll,ease_roll
11560,Caleb Williams,CHI,QB,NO,7,,5.3,67.0,1.1
11560,Caleb Williams,CHI,QB,BAL,8,,3.7,65.3,1.1
11560,Caleb Williams,CHI,QB,CIN,9,2.0,4.0,70.7,1.1
11562,Spencer Rattler,NO,QB,ARI,1,,4.0,75.0,1.0
11562,Spencer Rattler,NO,QB,SF,2,,4.0,73.0,1.0
11562,Spencer Rattler,NO,QB,SEA,3,,3.3,72.0,1.0
11562,Spencer Rattler,NO,QB,BUF,4,1.0,4.0,69.3,1.0
11562,Spencer Rattler,NO,QB,NYG,5,1.0,4.7,66.3,1.0
11562,Spencer Rattler,NO,QB,NE,6,1.0,5.3,61.3,1.1
11562,Spencer Rattler,NO,QB,CHI,7,1.0,4.0,57.7,1.2
11562,Spencer Rattler,NO,QB,TB,8,,3.0,48.0,1.2
11563,Bo Nix,DEN,QB,TEN,1,,8.0,76.0,0.9
11563,Bo Nix,DEN,QB,IND,2,,5.5,67.0,1.0
11563,Bo Nix,DEN,QB,LAC,3,,6.3,62.0,0.9
11563,Bo Nix,DEN,QB,CIN,4,,5.7,63.7,1.1
11563,Bo Nix,DEN,QB,PHI,5,,5.7,69.0,1.0
11563,Bo Nix,DEN,QB,NYJ,6,,4.7,71.7,1.1
11563,Bo Nix,DEN,QB,NYG,7,,4.3,71.7,1.0
11563,Bo Nix,DEN,QB,DAL,8,,3.7,66.7,1.2
11563,Bo Nix,DEN,QB,HOU,9,,3.0,67.7,1.1
11564,Drake Maye,NE,QB,LV,1,1.0,4.0,71.0,0.9
11564,Drake Maye,NE,QB,MIA,2,1.0,7.0,65.5,1.0
11564,Drake Maye,NE,QB,PIT,3,1.0,7.0,68.3,1.1
11564,Drake Maye,NE,QB,CAR,4,,6.7,59.0,1.1
11564,Drake Maye,NE,QB,BUF,5,,4.3,59.0,1.0
11564,Drake Maye,NE,QB,NO,6,,5.0,55.7,0.9
11564,Drake Maye,NE,QB,TEN,7,,6.7,59.7,1.0
11564,Drake Maye,NE,QB,CLE,8,,8.0,62.3,1.0
11564,Drake Maye,NE,QB,ATL,9,,7.7,63.7,0.9
11565,J.J. McCarthy,MIN,QB,CHI,1,,2.0,56.0,1.3
11565,J.J. McCarthy,MIN,QB,ATL,2,,3.5,51.5,1.1
11565,J.J. McCarthy,MIN,QB,DET,9,,5.3,55.0,1.1
11566,Jayden Daniels,WAS,QB,NYG,1,,11.0,70.0,1.1
11566,Jayden Daniels,WAS,QB,GB,2,,9.0,69.5,1.0
11566,Jayden Daniels,WAS,QB,LAC,5,,8.7,66.0,0.9
11566,Jayden Daniels,WAS,QB,CHI,6,,8.3,64.3,1.0
11566,Jayden Daniels,WAS,QB,DAL,7,,8.7,56.7,1.2
11566,Jayden Daniels,WAS,QB,SEA,9,,9.3,56.0,1.2
11570,Rasheen Ali,BAL,RB,BUF,1,,1.0,1.0,1.1
11571,Isaiah Davis,NYJ,RB,PIT,1,,2.0,8.0,0.9
11571,Isaiah Davis,NYJ,RB,BUF,2,3.0,2.0,9.0,1.0
11571,Isaiah Davis,NYJ,RB,MIA,4,2.5,2.5,13.0,1.1
11571,Isaiah Davis,NYJ,RB,DAL,5,3.0,2.0,21.3,1.2
11571,Isaiah Davis,NYJ,RB,DEN,6,2.3,2.0,23.0,1.1
11571,Isaiah Davis,NYJ,RB,CAR,7,3.0,1.7,25.7,1.0
11571,Isaiah Davis,NYJ,RB,CIN,8,3.3,3.7,25.7,1.1
11574,Dylan Laube,LV,RB,LAC,2,2.0,,12.0,1.0
11574,Dylan Laube,LV,RB,WAS,3,1.5,3.0,9.5,1.0
11574,Dylan Laube,LV,RB,KC,7,1.3,2.5,8.0,1.0
11575,Ray Davis,BUF,RB,BAL,1,1.0,1.0,10.0,1.2
11575,Ray Davis,BUF,RB,NYJ,2,1.0,5.0,15.0,1.2
11575,Ray Davis,BUF,RB,NO,4,1.0,3.7,11.7,1.1
11575,Ray Davis,BUF,RB,NE,5,,4.0,10.3,1.0
11575,Ray Davis,BUF,RB,ATL,6,2.0,1.5,4.3,1.0
11575,Ray Davis,BUF,RB,CAR,8,1.5,5.5,7.7,1.0
11576,Braelon Allen,NYJ,RB,PIT,1,,6.0,20.0,0.9
11576,Braelon Allen,NYJ,RB,BUF,2,1.0,4.0,14.5,1.0
11576,Braelon Allen,NYJ,RB,TB,3,1.5,4.7,17.3,1.0
11576,Braelon Allen,NYJ,RB,MIA,4,1.5,4.0,12.7,1.1
11577,Will Shipley,PHI,RB,DAL,1,,3.0,5.0,1.3
11577,Will Shipley,PHI,RB,DEN,5,2.0,2.0,6.5,1.1
11577,Will Shipley,PHI,RB,MIN,7,1.5,2.0,7.0,1.0
11577,Will Shipley,PHI,RB,NYG,8,1.5,2.0,8.0,1.1
11584,Bucky Irving,TB,RB,ATL,1,4.0,14.0,44.0,1.0
11584,Bucky Irving,TB,RB,HOU,2,5.0,15.5,50.5,1.0
11584,Bucky Irving,TB,RB,NYJ,3,4.7,18.7,51.3,1.0
11584,Bucky Irving,TB,RB,PHI,4,5.0,19.0,51.3,1.1
11586,Blake Corum,LAR,RB,HOU,1,1.0,1.0,10.0,0.9
11586,Blake Corum,LAR,RB,TEN,2,1.0,3.0,14.0,1.1
11586,Blake Corum,LAR,RB,PHI,3,1.0,4.7,14.7,1.1
11586,Blake Corum,LAR,RB,IND,4,4.0,7.3,18.7,1.1
11586,Blake Corum,LAR,RB,SF,5,3.0,6.0,14.7,1.1
11586,Blake Corum,LAR,RB,BAL,6,3.0,5.0,13.3,1.1
11586,Blake Corum,LAR,RB,JAX,7,1.5,6.0,14.0,1.1
11586,Blake Corum,LAR,RB,NO,9,1.0,10.0,19.3,1.0
11589,Trey Benson,ARI,RB,NO,1,1.0,8.0,22.0,1.0
