playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent,week_num
6826,Cole Kmet,CHI,TE,3.1,4.1,3.6,,,,,,,,,4.0,1.0,31.0,,60.0,MIN,1
12526,Tetairoa McMillan,CAR,WR,6.8,11.8,9.3,,,,,,,,,9.0,5.0,68.0,,53.0,JAX,1
11563,Bo Nix,DEN,QB,8.8,8.8,8.8,40.0,25.0,176.0,1.0,2.0,8.0,18.0,,,,,,76.0,TEN,1
2449,Stefon Diggs,NE,WR,5.7,11.7,8.7,,,,,,,,,7.0,6.0,57.0,,29.0,LV,1
7567,Kenneth Gainwell,PIT,RB,3.3,6.3,4.8,,,,,,7.0,19.0,,4.0,3.0,4.0,,30.0,NYJ,1
7543,Travis Etienne,JAX,RB,15.6,18.6,17.1,,,,,,16.0,143.0,,3.0,3.0,13.0,,40.0,CAR,1
7757,Ben Skowronek,PIT,WR,9.2,10.2,9.7,,,,,,,,,1.0,1.0,22.0,1.0,10.0,NYJ,1
11570,Rasheen Ali,BAL,RB,0.5,0.5,0.5,,,,,,1.0,5.0,,,,,,1.0,BUF,1
12534,Kyle Monangai,CHI,RB,1.1,2.1,1.6,,,,,,,,,1.0,1.0,11.0,,9.0,MIN,1
8849,Tanner Conner,MIA,TE,2.0,4.0,3.0,,,,,,,,,4.0,2.0,20.0,,28.0,IND,1
11631,Brian Thomas,JAX,WR,8.0,9.0,8.5,,,,,,1.0,9.0,1.0,7.0,1.0,11.0,,57.0,CAR,1
5892,David Montgomery,DET,RB,4.3,8.3,6.3,,,,,,11.0,25.0,,4.0,4.0,18.0,,25.0,GB,1
12469,Dylan Sampson,CLE,RB,9.3,17.3,13.3,,,,,,12.0,29.0,,8.0,8.0,64.0,,33.0,CIN,1
12502,Gunnar Helm,TEN,TE,1.6,2.6,2.1,,,,,,,,,2.0,1.0,16.0,,23.0,DEN,1
7571,Rashod Bateman,BAL,WR,1.0,3.0,2.0,,,,,,,,,4.0,2.0,10.0,,37.0,BUF,1
11306,Xavier Gipson,PHI,WR,-2.0,-2.0,-2.0,,,,,,,,,,,,,,DAL,1
5927,Terry McLaurin,WAS,WR,2.7,4.7,3.7,,,,,,,,,4.0,2.0,27.0,,55.0,NYG,1
4199,Aaron Jones,MIN,RB,12.7,15.7,14.2,,,,,,8.0,23.0,,3.0,3.0,44.0,1.0,28.0,CHI,1
12472,Raheim Sanders,CLE,RB,6.3,6.3,6.3,,,,,,3.0,3.0,1.0,,,,,3.0,CIN,1
12498,Mason Taylor,NYJ,TE,2.0,3.0,2.5,,,,,,,,,1.0,1.0,20.0,,56.0,PIT,1
12481,Cam Skattebo,NYG,RB,0.9,2.9,1.9,,,,,,2.0,-3.0,,2.0,2.0,12.0,,8.0,WAS,1
10218,Xavier Hutchinson,HOU,WR,3.5,5.5,4.5,,,,,,1.0,5.0,,2.0,2.0,30.0,,43.0,LAR,1
11623,Jordan Whittington,LAR,WR,0.5,0.5,0.5,,,,,,1.0,5.0,,,,,,30.0,HOU,1
9225,Tank Bigsby,PHI,RB,1.2,1.2,1.2,,,,,,5.0,12.0,,,,,,14.0,DAL,1
11603,AJ Barner,SEA,TE,0.2,1.2,0.7,,,,,,1.0,2.0,,2.0,1.0,,,44.0,SF,1
9757,Kendre Miller,NO,RB,2.4,2.4,2.4,,,,,,5.0,24.0,,,,,,11.0,ARI,1
7670,Joshua Palmer,BUF,WR,6.1,11.1,8.6,,,,,,,,,9.0,5.0,61.0,,53.0,BAL,1
