playerID,playerName,team,position,opponent,last_week,rec_tgt_base,rush_att_base,off_snp_base,ease_base
12492,Pat Bryant,DEN,WR,HOU,9,3.7,,37.3,1.1
12493,Oronde Gadsden,LAC,TE,TEN,9,6.3,,56.0,1.1
12495,Ollie Gordon,MIA,RB,BAL,9,1.3,5.7,17.3,1.0
12496,Tai Felton,MIN,WR,CIN,3,1.0,,12.0,1.1
12497,Tory Horton,SEA,WR,WAS,9,3.3,,30.3,1.1
12498,Mason Taylor,NYJ,TE,CIN,8,4.7,,55.7,1.3
12499,Elic Ayomanor,TEN,WR,LAC,9,6.3,,49.3,1.1
12500,Quinn Ewers,MIA,QB,CLE,7,,1.0,12.0,1.0
12501,Matthew Golden,GB,WR,CAR,9,3.3,,35.7,1.1
12502,Gunnar Helm,TEN,TE,LAC,9,3.0,,28.7,1.2
12503,Isaiah Bond,CLE,WR,PIT,6,6.0,,49.3,1.1
12504,Kaleb Johnson,PIT,RB,IND,9,1.0,4.3,9.0,0.8
12506,Harold Fannin,CLE,TE,NE,8,7.7,1.0,51.0,1.3
12507,Omarion Hampton,LAC,RB,WAS,5,6.0,14.3,54.3,1.1
12508,Jaxson Dart,NYG,QB,SF,9,,6.3,62.0,0.9
12509,Tre' Harris,LAC,WR,TEN,9,2.0,,35.3,1.0
12510,Jalen Milroe,SEA,QB,TB,5,,1.0,1.0,1.0
12512,Quinshon Judkins,CLE,RB,NE,8,2.0,15.3,29.3,1.0
12514,Emeka Egbuka,TB,WR,NO,8,8.3,,43.7,1.0
12517,Colston Loveland,CHI,TE,CIN,9,5.3,,54.0,1.2
12518,Tyler Warren,IND,TE,PIT,9,5.7,,53.3,1.0
12519,Luther Burden,CHI,WR,BAL,8,2.3,1.0,15.0,1.1
12521,Elijah Arroyo,SEA,TE,WAS,9,3.0,,24.7,1.0
12522,Cam Ward,TEN,QB,LAC,9,,2.0,57.0,1.1
12523,Jimmy Horn,CAR,WR,GB,9,1.7,1.3,12.3,1.0
12526,Tetairoa McMillan,CAR,WR,GB,9,7.0,,56.0,1.0
12527,Ashton Jeanty,LV,RB,JAX,9,3.3,14.0,42.7,1.0
12529,TreVeyon Henderson,NE,RB,ATL,9,6.0,8.7,24.7,1.0
12530,Travis Hunter,JAX,WR,LAR,7,8.0,1.0,55.0,0.9
12531,Trevor Etienne,CAR,RB,BUF,8,1.0,3.7,8.7,1.2
12533,Jacory Croskey-Merritt,WAS,RB,SEA,9,1.3,11.3,31.0,1.0
12534,Kyle Monangai,CHI,RB,CIN,9,4.0,15.3,39.7,1.3
12535,Isaac TeSlaa,DET,WR,CIN,5,1.0,,13.7,1.2
12536,Jaylin Noel,HOU,WR,DEN,9,6.5,1.0,25.0,0.9
12539,Arian Smith,NYJ,WR,CIN,8,1.7,,44.0,1.1
12540,Chimere Dike,TEN,WR,LAC,9,5.0,1.0,44.7,1.1
12541,Dont'e Thornton,LV,WR,WAS,3,4.0,,44.7,1.0
12543,Tahj Brooks,CIN,RB,CHI,9,,3.0,6.5,1.0
12544,LeQuint Allen,JAX,RB,LV,9,1.3,1.0,18.7,0.9
12545,Tyler Shough,NO,QB,LAR,9,,2.0,38.0,1.0
12547,Kyle Williams,NE,WR,CAR,4,1.0,1.0,10.0,1.1
12634,Jordan Watkins,SF,WR,NYG,9,1.5,,7.0,0.9
12641,Jaylin Lane,WAS,WR,SEA,9,4.3,,36.7,1.1
12658,Jackson Hawes,BUF,TE,KC,9,2.0,,32.3,1.1
12670,KeAndre Lambert-Smith,LAC,WR,MIA,6,2.0,,18.0,0.9
12718,Konata Mumpfield,LAR,WR,JAX,7,1.5,,18.5,1.1
12775,Max Brosmer,MIN,QB,LAC,8,,1.0,6.3,1.0
12787,Josh Williams,TB,RB,NO,8,,4.0,6.0,1.0
12889,Beaux Collins,NYG,WR,PHI,8,2.5,,20.0,0.9
12897,Nathan Carter,ATL,RB,MIA,8,,4.5,4.5,1.1
13047,Jacardia Wright,SEA,RB,NO,3,,5.0,5.0,1.0
13075,Myles Price,MIN,WR,ATL,2,,,,0.9
13101,Gage Larvadain,CLE,WR,NE,8,4.0,1.0,20.5,1.3
13121,Ben Yurosek,MIN,TE,LAC,8,2.0,,15.0,0.9
13122,Carter Runyon,LV,TE,KC,7,1.0,,5.0,0.9
1339,Zach Ertz,WAS,TE,SEA,9,5.7,,39.7,1.1
1373,Geno Smith,LV,QB,JAX,9,,3.7,51.7,1.1
1426,DeAndre Hopkins,BAL,WR,CHI,8,2.3,,20.0,1.0
1466,Travis Kelce,KC,TE,BUF,9,5.3,,54.3,0.9
1479,Keenan Allen,LAC,WR,TEN,9,8.0,,30.3,1.0
1689,Adam Thielen,MIN,WR,PHI,7,2.3,,19.3,1.0
1837,Jimmy Garoppolo,LAR,QB,JAX,7,,3.0,3.0,1.3
19,Joe Flacco,CIN,QB,CHI,9,,2.7,67.7,1.2
2133,Davante Adams,LAR,WR,NO,9,8.0,,43.7,1.0
2152,Teddy Bridgewater,TB,QB,DET,7,,1.0,1.0,1.1
2197,Brandin Cooks,NO,WR,LAR,9,2.7,,35.3,1.2
2216,Mike Evans,TB,WR,NYJ,3,9.0,,54.3,0.9
2307,Marcus Mariota,WAS,QB,KC,8,,4.0,43.7,1.1
2359,Ameer Abdullah,IND,RB,PIT,9,1.0,1.7,6.7,1.1
2374,Tyler Lockett,LV,WR,KC,7,3.0,,18.5,1.0
2449,Stefon Diggs,NE,WR,ATL,9,5.3,,37.0,1.0
2505,Darren Waller,MIA,TE,LAC,6,4.0,,29.7,1.1
2749,Raheem Mostert,LV,RB,JAX,9,1.0,5.0,9.3,1.0
3048,Chris Manhertz,NYG,TE,KC,3,1.0,,13.0,0.9
3161,Carson Wentz,MIN,QB,LAC,8,,3.5,58.7,0.9
3163,Jared Goff,DET,QB,MIN,9,,1.5,62.0,1.0
3198,Derrick Henry,BAL,RB,MIA,9,1.3,21.3,36.7,1.0
3200,Sterling Shepard,TB,WR,NO,8,4.0,,31.3,1.0
3202,Austin Hooper,NE,TE,ATL,9,1.7,,36.0,0.8
3214,Hunter Henry,NE,TE,ATL,9,4.0,,49.0,0.8
3257,Jacoby Brissett,ARI,QB,DAL,9,,4.7,72.0,1.2
3269,Chris Moore,WAS,WR,DAL,7,4.3,1.0,45.7,1.2
3271,Tyler Higbee,LAR,TE,NO,9,4.7,,34.3,1.0
3286,Demarcus Robinson,SF,WR,HOU,8,4.3,,37.7,1.0
3294,Dak Prescott,DAL,QB,ARI,9,,5.0,66.3,1.0
3321,Tyreek Hill,MIA,WR,NYJ,4,7.7,,41.7,1.1
3423,Robbie Chosen,WAS,WR,DAL,7,4.0,,33.0,1.5
3634,Kalif Raymond,DET,WR,TB,7,2.7,,32.0,1.2
3976,Mitchell Trubisky,BUF,QB,CAR,8,,3.0,10.5,1.0
4033,David Njoku,CLE,TE,NE,8,6.7,,45.0,1.2
4034,Christian McCaffrey,SF,RB,NYG,9,6.7,20.0,51.0,1.1
4035,Alvin Kamara,NO,RB,LAR,9,2.7,7.7,36.0,1.0
4037,Chris Godwin,TB,WR,SEA,5,7.0,,52.5,0.9
4039,Cooper Kupp,SEA,WR,HOU,7,4.3,,49.0,0.9
4040,JuJu Smith-Schuster,KC,WR,BUF,9,2.0,,22.3,1.1
4046,Patrick Mahomes,KC,QB,BUF,9,,3.0,64.7,1.0
4054,Mo Alie-Cox,IND,TE,LAC,7,1.7,,26.7,1.1
4066,Evan Engram,DEN,TE,DAL,8,6.0,1.0,33.3,1.1
4080,Zay Jones,ARI,WR,GB,7,4.3,,44.3,1.1
4082,Curtis Samuel,BUF,WR,KC,9,1.7,,26.7,1.0
4098,Kareem Hunt,KC,RB,BUF,9,1.5,8.0,28.0,1.1
4137,James Conner,ARI,RB,SF,3,3.0,10.7,31.0,1.0
4144,Jonnu Smith,PIT,TE,IND,9,4.7,,34.3,1.4
4147,Samaje Perine,CIN,RB,CHI,9,1.0,5.7,18.0,1.1
4171,Josh Reynolds,NYJ,WR,CAR,7,5.3,,56.3,1.0
4177,Mack Hollins,NE,WR,ATL,9,3.7,1.0,45.0,1.0
4179,Joshua Dobbs,NE,QB,TEN,7,,2.5,8.0,0.9
4189,Eric Saubert,SEA,TE,NO,3,1.0,,26.0,1.1
4199,Aaron Jones,MIN,RB,DET,9,2.3,6.3,24.0,0.9
421,Matthew Stafford,LAR,QB,NO,9,,3.3,66.7,1.1
4217,George Kittle,SF,TE,NYG,9,4.3,1.0,40.3,1.0
4219,Jeremy McNichols,WAS,RB,KC,8,4.3,1.7,22.7,1.1
4234,Noah Brown,WAS,WR,GB,2,3.5,,30.0,1.1
4274,David Moore,CAR,WR,NE,4,1.0,1.0,28.5,1.0
4314,Johnny Mundt,JAX,TE,LAR,7,2.3,,26.3,1.1
4351,Tim Patrick,JAX,WR,LAR,7,1.0,,16.3,1.0
4381,Taysom Hill,NO,TE,LAR,9,1.5,2.7,7.7,1.1
4454,Kendrick Bourne,SF,WR,NYG,9,2.7,,46.0,0.9
4574,Cooper Rush,BAL,QB,LAR,6,,1.0,37.3,0.9
4663,Austin Ekeler,WAS,RB,GB,2,3.5,7.0,34.5,1.1
4718,Dare Ogunbowale,HOU,RB,DEN,9,1.3,1.5,14.0,0.9
4866,Saquon Barkley,PHI,RB,NYG,8,3.0,14.7,40.0,1.2
4881,Lamar Jackson,BAL,QB,MIA,9,,6.0,50.3,1.0
4892,Baker Mayfield,TB,QB,NO,8,,3.0,59.0,1.1
4943,Sam Darnold,SEA,QB,WAS,9,,3.5,58.3,1.1
4950,Christian Kirk,HOU,WR,DEN,9,5.3,,39.3,1.0
4972,Mason Rudolph,PIT,QB,SEA,2,,,3.0,1.0
4981,Calvin Ridley,TEN,WR,LV,6,4.7,,25.7,1.0
4983,DJ Moore,CHI,WR,CIN,9,6.0,1.3,60.3,1.1
4984,Josh Allen,BUF,QB,KC,9,,5.0,58.3,0.9
4988,Nick Chubb,HOU,RB,DEN,9,2.5,11.0,26.7,1.0
4993,Mike Gesicki,CIN,TE,DET,5,3.0,,25.0,1.1
4995,Ian Thomas,LV,TE,JAX,9,1.7,,22.3,1.1
5001,Dalton Schultz,HOU,TE,DEN,9,7.0,,54.7,1.2
5010,Will Dissly,LAC,TE,MIA,6,1.3,,28.7,1.1
5012,Mark Andrews,BAL,TE,MIA,9,4.0,2.5,42.0,1.2
5022,Dallas Goedert,PHI,TE,NYG,8,5.7,,45.7,1.0
5045,Courtland Sutton,DEN,WR,HOU,9,7.3,,62.3,1.1
